date,state,parlimen,expenditure
2019-01-01,Sabah,P.185 Batu Sapi,3571
2022-01-01,Sabah,P.185 Batu Sapi,3624
2024-01-01,Sabah,P.185 Batu Sapi,3880
2019-01-01,Sabah,P.186 Sandakan,3759
2022-01-01,Sabah,P.186 Sandakan,3879
2024-01-01,Sabah,P.186 Sandakan,3993
2019-01-01,Sabah,P.187 Kinabatangan,1916
2022-01-01,Sabah,P.187 Kinabatangan,2408
2024-01-01,Sabah,P.187 Kinabatangan,2500
2019-01-01,Sabah,P.188 Lahad Datu,2763
2022-01-01,Sabah,P.188 Lahad Datu,3177
2024-01-01,Sabah,P.188 Lahad Datu,3420
2019-01-01,Sabah,P.189 Semporna,2599
2022-01-01,Sabah,P.189 Semporna,2466
2024-01-01,Sabah,P.189 Semporna,2567
2019-01-01,Sabah,P.190 Tawau,2554
2022-01-01,Sabah,P.190 Tawau,3240
2024-01-01,Sabah,P.190 Tawau,3202
2019-01-01,Sabah,P.191 Kalabakan,2941
2022-01-01,Sabah,P.191 Kalabakan,2713
2024-01-01,Sabah,P.191 Kalabakan,2871
2019-01-01,Sarawak,P.192 Mas Gading,2940
2022-01-01,Sarawak,P.192 Mas Gading,3231
2024-01-01,Sarawak,P.192 Mas Gading,3508
2019-01-01,Sarawak,P.193 Santubong,3378
2022-01-01,Sarawak,P.193 Santubong,3850
2024-01-01,Sarawak,P.193 Santubong,4385
2019-01-01,Sarawak,P.194 Petra Jaya,4260
2022-01-01,Sarawak,P.194 Petra Jaya,4839
2024-01-01,Sarawak,P.194 Petra Jaya,5349
2019-01-01,Sarawak,P.195 Bandar Kuching,4457
2022-01-01,Sarawak,P.195 Bandar Kuching,5095
2024-01-01,Sarawak,P.195 Bandar Kuching,5172
2019-01-01,Sarawak,P.196 Stampin,4465
2022-01-01,Sarawak,P.196 Stampin,4883
2024-01-01,Sarawak,P.196 Stampin,5350
2019-01-01,Sarawak,P.197 Kota Samarahan,3723
2022-01-01,Sarawak,P.197 Kota Samarahan,4203
2024-01-01,Sarawak,P.197 Kota Samarahan,4894
2019-01-01,Sarawak,P.198 Puncak Borneo,2960
2022-01-01,Sarawak,P.198 Puncak Borneo,3402
2024-01-01,Sarawak,P.198 Puncak Borneo,3831
2019-01-01,Sarawak,P.199 Serian,2643
2022-01-01,Sarawak,P.199 Serian,3233
2024-01-01,Sarawak,P.199 Serian,3329
2019-01-01,Sarawak,P.200 Batang Sadong,2324
2022-01-01,Sarawak,P.200 Batang Sadong,2996
2024-01-01,Sarawak,P.200 Batang Sadong,3269
2019-01-01,Sarawak,P.201 Batang Lupar,2324
2022-01-01,Sarawak,P.201 Batang Lupar,2523
2024-01-01,Sarawak,P.201 Batang Lupar,2630
2019-01-01,Sarawak,P.202 Sri Aman,2823
2022-01-01,Sarawak,P.202 Sri Aman,3098
2024-01-01,Sarawak,P.202 Sri Aman,3060
2019-01-01,Sarawak,P.203 Lubok Antu,2785
2022-01-01,Sarawak,P.203 Lubok Antu,3007
2024-01-01,Sarawak,P.203 Lubok Antu,3564
2019-01-01,Sarawak,P.204 Betong,2868
2022-01-01,Sarawak,P.204 Betong,2869
2024-01-01,Sarawak,P.204 Betong,2869
2019-01-01,Sarawak,P.205 Saratok,2747
2022-01-01,Sarawak,P.205 Saratok,3077
2024-01-01,Sarawak,P.205 Saratok,3197
2019-01-01,Sarawak,P.206 Tanjong Manis,2795
2022-01-01,Sarawak,P.206 Tanjong Manis,2758
2024-01-01,Sarawak,P.206 Tanjong Manis,2925
2019-01-01,Sarawak,P.207 Igan,2506
2022-01-01,Sarawak,P.207 Igan,2948
2024-01-01,Sarawak,P.207 Igan,3062
2019-01-01,Sarawak,P.208 Sarikei,3063
2022-01-01,Sarawak,P.208 Sarikei,3148
2024-01-01,Sarawak,P.208 Sarikei,3835
2019-01-01,Sarawak,P.209 Julau,2524
2022-01-01,Sarawak,P.209 Julau,2916
2024-01-01,Sarawak,P.209 Julau,3360
2019-01-01,Sarawak,P.210 Kanowit,2497
2022-01-01,Sarawak,P.210 Kanowit,2940
2024-01-01,Sarawak,P.210 Kanowit,3240
2019-01-01,Sarawak,P.211 Lanang,3528
2022-01-01,Sarawak,P.211 Lanang,4423
2024-01-01,Sarawak,P.211 Lanang,4026
2019-01-01,Sarawak,P.212 Sibu,3741
2022-01-01,Sarawak,P.212 Sibu,4278
2024-01-01,Sarawak,P.212 Sibu,4876
2019-01-01,Sarawak,P.213 Mukah,2977
2022-01-01,Sarawak,P.213 Mukah,3474
2024-01-01,Sarawak,P.213 Mukah,3413
2019-01-01,Sarawak,P.214 Selangau,2696
2022-01-01,Sarawak,P.214 Selangau,3000
2024-01-01,Sarawak,P.214 Selangau,3088
2019-01-01,Sarawak,P.215 Kapit,3178
2022-01-01,Sarawak,P.215 Kapit,3199
2024-01-01,Sarawak,P.215 Kapit,3571
2019-01-01,Sarawak,P.216 Hulu Rajang,2407
2022-01-01,Sarawak,P.216 Hulu Rajang,2546
2024-01-01,Sarawak,P.216 Hulu Rajang,3271
2019-01-01,Sarawak,P.217 Bintulu,3653
2022-01-01,Sarawak,P.217 Bintulu,4516
2024-01-01,Sarawak,P.217 Bintulu,4723
2019-01-01,Sarawak,P.218 Sibuti,2729
2022-01-01,Sarawak,P.218 Sibuti,2692
2024-01-01,Sarawak,P.218 Sibuti,3855
2019-01-01,Sarawak,P.219 Miri,4140
2022-01-01,Sarawak,P.219 Miri,4438
2024-01-01,Sarawak,P.219 Miri,4744
2019-01-01,Sarawak,P.220 Baram,2379
2022-01-01,Sarawak,P.220 Baram,2648
2024-01-01,Sarawak,P.220 Baram,2822
2019-01-01,Sarawak,P.221 Limbang,3394
2022-01-01,Sarawak,P.221 Limbang,3184
2024-01-01,Sarawak,P.221 Limbang,3457
2019-01-01,Sarawak,P.222 Lawas,3299
2022-01-01,Sarawak,P.222 Lawas,2934
2024-01-01,Sarawak,P.222 Lawas,3241
